Report Received Date,Manufacturer,Subject,Component,Recall Type,Potentially Affected,Park Outside Advisory ,Do Not Drive Advisory
06/30/2023,Mobility Ventures LLC,ESC Light May Not Indicate Malfunction/FMVSS 126,ELECTRONIC STABILITY CONTROL,Vehicle,525.0,No,No
07/02/2021,Newmar Corporation,High Pressure Fuel Rail Assembly May Leak Fuel,"FUEL SYSTEM, DIESEL",Vehicle,1737.0,No,No
08/17/2023,"Grand Design RV, LLC",Safety Chains Are Underrated For GVWR,TRAILER HITCHES,Vehicle,1209.0,No,No
11/22/2017,DRV Suites,Fire Extinguisher May Be Clogged or Inoperable,EQUIPMENT,Vehicle,7896.0,No,No
10/14/2016,"Morbark, Inc.",Incorrect Location of Side Marker Lights/FMVSS 108,EXTERIOR LIGHTING,Vehicle,3331.0,No,No
07/27/2021,"Eclipse Recreational Vehicles, Inc.",Stove Saddle Valves may Leak Gas,EQUIPMENT,Vehicle,500.0,No,No
10/02/2020,"Corp. Micro Bird, Inc.",Propane Module May Short Circuit,ELECTRICAL SYSTEM,Vehicle,75.0,No,No
04/14/2016,"Forest River, Inc.",Exit Window Labels Incorrect Placement/FMVSS 217,STRUCTURE,Vehicle,1860.0,No,No
07/27/2023,"Lucid USA, Inc.",Software May Not Display Warning for Loss of Power,ELECTRICAL SYSTEM,Vehicle,778.0,No,No
11/06/2018,"National Van Builders, Inc.",Seat Back may not Stay Upright/FMVSS 207,SEATS,Vehicle,475.0,No,No
01/30/2018,"Daimler Trucks North America, LLC",Fire Extinguisher May Be Clogged or Inoperable,EQUIPMENT,Vehicle,606.0,No,No
09/04/2015,"Daimler Trucks North America, LLC",Wheel Chair Lift Link Arm Pivot Holes,EQUIPMENT ADAPTIVE/MOBILITY,Vehicle,4334.0,No,No
08/25/2023,"Volkswagen Group of America, Inc.",Incorrect Brake Fluid Cap,"SERVICE BRAKES, HYDRAULIC",Vehicle,7499.0,No,No
01/04/2018,"Gulf Stream Coach, Inc.",Fire Extinguisher May Be Clogged or Inoperable,EQUIPMENT,Vehicle,3034.0,No,No
06/03/2016,"Mitsubishi Motors North America, Inc.",Sun Visor May Detach During Air Bag Deployment,AIR BAGS,Vehicle,16315.0,No,No
12/29/2017,"ShowHauler Trucks, Inc.",Fire Extinguisher May Be Clogged or Inoperable,EQUIPMENT,Vehicle,783.0,No,No
08/10/2023,"Alliance RV, LLC",Improperly Wired Breakaway Switch,ELECTRICAL SYSTEM,Vehicle,60.0,No,No
01/20/2023,"Forest River, Inc.",Welded Drawbars May Fracture,EQUIPMENT,Vehicle,296.0,No,No
06/26/2023,"Mercedes-Benz USA, LLC",Loss of Drive Power from Fuel Pump Shutdown,"FUEL SYSTEM, GASOLINE",Vehicle,143551.0,No,No
06/02/2023,"Navistar, Inc.",Brake Pressure Switch May Short and Cause Fire,"SERVICE BRAKES, HYDRAULIC",Vehicle,6786.0,Yes,No
01/11/2018,"Mitsubishi Fuso Truck of America, Inc.",Fire Extinguisher May Be Clogged or Inoperable,EQUIPMENT,Vehicle,1153.0,No,No
07/31/2023,"Autocar, LLC",Fuel Filter Hoses May Disconnect or Leak Fuel,"FUEL SYSTEM, DIESEL",Vehicle,54.0,No,No
04/21/2023,Thor Motor Coach,Generator Set Fuel Hose May Cause Gas Leak,"FUEL SYSTEM, GASOLINE",Vehicle,2919.0,No,No
09/04/2015,"Daimler Trucks North America, LLC",Wheel Chair Lift Link Arm Pivot Holes,EQUIPMENT ADAPTIVE/MOBILITY,Vehicle,52.0,No,No
06/28/2023,"Airstream, Inc.",Electrical Wiring Under Protected by Fuse,ELECTRICAL SYSTEM,Vehicle,105.0,No,No
07/27/2023,"Lucid USA, Inc.",Rearview Camera Image May Not Display/FMVSS 111,BACK OVER PREVENTION,Vehicle,59.0,No,No
12/08/2017,"Midwest Automotive Designs, LLC",Fire Extinguisher May Be Clogged or Inoperable,EQUIPMENT,Vehicle,550.0,No,No
08/19/2022,"Daimler Trucks North America, LLC",Insufficient Passenger Protection/FMVSS 222,SEATS,Vehicle,7561.0,No,No
05/04/2023,"Navistar, Inc.",Driveshaft May Separate,POWER TRAIN,Vehicle,49.0,No,No
11/18/2015,"Forest River, Inc.",Wheel Chair Lift Link Arm Pivot Holes,EQUIPMENT ADAPTIVE/MOBILITY,Vehicle,5675.0,No,No
01/31/2020,"Volkswagen Group of America, Inc.",Air Bag Inflators May Underinflate Bag,AIR BAGS,Vehicle,106857.0,No,No
03/03/2023,Toyota Motor Engineering & Manufacturing,Tonneau Cover May Detach,STRUCTURE,Vehicle,130266.0,No,No
11/22/2017,Keystone RV Company,Fire Extinguisher May Be Clogged or Inoperable,EQUIPMENT,Vehicle,1205997.0,No,No
